,Date,Weights,Profit,Base Profit,Volume,KAMN,LAWS,WLFC,HDSN,BCRX,TTNP,TECH,NBIX,SUP,STRT,DORM,MOD,cash
0,2014-01-06,"[0.13256788 0.185016   0.32343162 0.20148015 0.         0.
 0.         0.         0.         0.         0.         0.
 0.15750434]",0.9999999999913257,0.9999999999917251,0.8674321193034555,0.18501600239244387,0.3234316249713956,0.20148015304265332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15750433889696278,0.13256788069654443
1,2014-01-07,"[0.         0.20193559 0.40738483 0.22248225 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16819733]",1.012273946644687,1.0075546674870666,0.13256788069539444,0.2019355938158701,0.4073848263044421,0.22248224638042896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16819733349925878,0.0
2,2014-01-08,"[0.         0.19542475 0.42684909 0.21599513 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16173104]",1.017064712533663,1.0521228666367803,0.02280204542663852,0.1954247511038872,0.4268490877602984,0.21599512526769615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617310358681183,0.0
3,2014-01-09,"[0.         0.19252022 0.43176006 0.21423306 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16148666]",1.0199930821164607,1.0682236448490432,0.004365441973537478,0.19252021545568268,0.43176006443628107,0.21423306338344603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16148665672459017,0.0
4,2014-01-10,"[0.         0.19279818 0.43020359 0.2148942  0.         0.
 0.         0.         0.         0.         0.         0.
 0.16210403]",1.0305505661597099,1.0792224243779907,0.004042405124444289,0.19279818135555374,0.4302035907995255,0.21489419781204652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16210403003287419,0.0
5,2014-01-13,"[0.         0.19191604 0.43145512 0.21520636 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16142248]",1.053012524619887,1.0845439704577462,0.0042642889238348105,0.1919160435077161,0.4314551173998622,0.21520635832324084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16142248076918086,0.0
6,2014-01-14,"[0.         0.19091126 0.43528435 0.21321282 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16059158]",1.0584214625064106,1.094285701081689,0.02150367562889513,0.19091125628353112,0.4352843489436894,0.21321281635686262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16059157841591684,0.0
7,2014-01-15,"[0.         0.19107106 0.43293325 0.21479087 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16120482]",1.0687900989384678,1.0937143039976598,0.009568116175971699,0.19107106160021775,0.4329332473232905,0.21479086832886898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612048227476226,0.0
8,2014-01-16,"[0.         0.19201162 0.43219769 0.21433823 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16145246]",1.0499686971262785,1.1128488557233076,0.010834969878845026,0.19201161946662193,0.4321976910212167,0.2143382259364917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16145246357566959,0.0
9,2014-01-17,"[0.         0.19287549 0.42779841 0.21718914 0.         0.
 0.         0.         0.         0.         0.         0.
 0.16213696]",1.088117905360552,1.1033269961320065,0.012147059740707143,0.19287549314792315,0.4277984085949041,0.2171891373546837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621369609024892,0.0
