,Date,Weights,Profit,Base Profit,Volume,STRM,EBIX,UIS,JKHY,FLEX,IEC,CTS,SANM,PKI,COHR,BIO,WAT,cash
0,2014-01-06,"[0.    0.125 0.    0.125 0.    0.125 0.125 0.125 0.125 0.    0.125 0.
 0.125]",0.9998,0.9998,1.0,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0
1,2014-01-07,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.003712120345013,1.005173558735384,0.22217777777777772,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
2,2014-01-08,"[0.    0.125 0.    0.125 0.    0.125 0.125 0.125 0.125 0.    0.125 0.
 0.125]",1.0073068261307563,1.0066555383620854,0.22118461587330854,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0
3,2014-01-09,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.0115192808004516,1.013983607635155,0.22384596136239016,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
4,2014-01-10,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.0142305091621309,1.0198829572329573,0.006260942039150984,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
5,2014-01-13,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.014900743101564,1.0179915126624333,0.009626503288823553,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
6,2014-01-14,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.0002486252141476,1.0042334384833704,0.015264572314983038,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
7,2014-01-15,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",0.9928893682441882,0.9947371339095745,0.013834462650341193,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
8,2014-01-16,"[0.         0.11111111 0.         0.11111111 0.         0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111
 0.11111111]",1.0081410641801813,1.0102897231763444,0.011013620279641815,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0
9,2014-01-17,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],1.0145316695329052,1.0123465185975704,0.2016282128360362,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
10,2014-01-21,"[0.125 0.125 0.    0.    0.125 0.    0.    0.125 0.125 0.125 0.125 0.
 0.125]",1.0151159654764508,1.0132523442067258,0.6873501774230614,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125
11,2014-01-22,[0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],1.0129233882910755,1.012660917729476,0.3807587078010478,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
12,2014-01-23,[0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],1.0151155283984785,1.0131142713384758,0.005937000218351972,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
13,2014-01-24,[0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],1.0084425508255912,1.0109215542734316,0.01084722043047256,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
14,2014-01-27,"[0.         0.11111111 0.         0.         0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.
 0.11111111]",1.0009504986127782,1.0007355049998319,0.10151133589543912,0.11111111111111112,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0
15,2014-01-28,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],0.986911770006157,0.9873523415640453,0.20019009972255572,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0
16,2014-01-29,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],0.9907162262488063,0.9855965524860517,0.013323785591198642,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0
17,2014-01-30,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1],0.9896473079523297,0.9860664819753057,0.031897953121092774,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0
18,2014-01-31,"[0.         0.11111111 0.         0.11111111 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.
 0.11111111]",0.9892614727134811,0.9895931487348417,0.20205894659079704,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0
19,2014-02-03,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],0.9959252730711083,1.0006089866464878,0.19785229454269615,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
20,2014-02-04,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],0.9984900945114218,0.997556542917513,0.021607764895713005,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
21,2014-02-05,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],0.9783643316949397,0.9791704063809016,0.008491699773891675,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
22,2014-02-06,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],0.9721816650974081,0.972893395139612,0.017697439734106778,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
23,2014-02-07,[0.  0.1 0.  0.1 0.1 0.1 0.1 0.1 0.1 0.  0.1 0.1 0.1],0.9750143861672422,0.9769310784462115,0.0085095342760261,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0
