,Date,Weights,Profit,Base Profit,Volume,BCPC,OLN,FMC,GRA,KOPN,MXIM,INTC,XLNX,BCRX,TTNP,TECH,NBIX,cash
0,2014-01-06,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",0.999825,0.9998,0.875,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
1,2014-01-07,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0027039572015772,1.0126739346973872,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
2,2014-01-08,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0786461858927543,1.0610761692386048,0.0046343259949706145,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
3,2014-01-09,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0901424292129172,1.0740335860267884,0.12574364489196432,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
4,2014-01-10,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0954676347991024,1.0863522069102376,0.0350113597507606,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
5,2014-01-13,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0966606492115598,1.0887577090848886,0.007004105365974479,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
6,2014-01-14,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1074831579378428,1.0988096692444072,0.007263729377648365,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
7,2014-01-15,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1013765873040848,1.0976328957476778,0.01712525802191052,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
8,2014-01-16,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1238973740248273,1.1369106243885623,0.008937478024291118,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
9,2014-01-17,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1188600969007005,1.124523475228776,0.007138248170102959,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
10,2014-01-21,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1160380223096849,1.1229085722657892,0.009483201390504728,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
11,2014-01-22,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.123554763883882,1.1347928503296938,0.012382150914642684,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
12,2014-01-23,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1219697879456554,1.1340867354538022,0.006225333927591858,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
13,2014-01-24,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1329198373409666,1.1428611575621705,0.02324620760163965,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
14,2014-01-27,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.128085727449641,1.1397259956930068,0.03338812815648935,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
15,2014-01-28,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.1132163444705887,1.1053521572835872,0.012774404029905442,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
16,2014-01-29,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0911092141807843,1.072562157412758,0.022888091972677518,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
17,2014-01-30,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0845376720621338,1.072395496513244,0.02486636697234006,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
18,2014-01-31,"[0.125 0.    0.125 0.    0.125 0.    0.    0.125 0.125 0.    0.125 0.125
 0.125]",1.0852581844654159,1.075964672564394,0.016249597785475158,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125
