,Date,Weights,Profit,Base Profit,Volume,MMM,ATRI,CRY,TFX,PMD,LH,DGX,AMS,TCF,C,UMBF,JPM,cash
0,2014-01-06,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.99999999999,0.99999999999,1.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
1,2014-01-07,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.005951469198452,1.010799382381175,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
2,2014-01-08,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0028510741952568,1.011341859786452,0.007086015397865887,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
3,2014-01-09,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0067791520574312,1.0140766227579778,0.007784715183437508,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
4,2014-01-10,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0070139372811224,1.0113831358947778,0.009381506521465242,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
5,2014-01-13,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.013851025249096,1.0157523825876877,0.006047894936799207,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
6,2014-01-14,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0113298304886738,1.0151528418130058,0.010431301134963378,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
7,2014-01-15,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0039876329955575,1.0170302504473807,0.003603105887500266,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
8,2014-01-16,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0100779584885324,1.0255141544365287,0.007072203903736969,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
9,2014-01-17,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.011645157625765,1.0212939132046022,0.00929693259165862,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
10,2014-01-21,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0149401967719793,1.0229345476436293,0.004834649741694077,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
11,2014-01-22,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0188745119137146,1.0246171337086953,0.006817093721337341,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
12,2014-01-23,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0193341182011546,1.0267705603404194,0.017407983381609936,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
13,2014-01-24,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.0150407344504586,1.022863777531889,0.01008683698999876,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
14,2014-01-27,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",1.013597366169086,1.0157994508534351,0.012385902861967127,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
15,2014-01-28,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.9927719299703001,0.9988218592165844,0.012613562465875265,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
16,2014-01-29,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.988542273781949,0.9954874939520122,0.013507992014245008,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
17,2014-01-30,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.9799741491426551,0.9867753654640459,0.011484552468496922,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
18,2014-01-31,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.9748763892839215,0.9824256786325308,0.0067953320484381565,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
19,2014-02-03,"[0.    0.125 0.125 0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.125
 0.125]",0.9665441406196509,0.9681559731085825,0.019091400010951616,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0
