,Date,Weights,Profit,Base Profit,Volume,C,JPM,TCF,UMBF,MTH,BZH,PHM,NVR,ENSV,RES,CLB,HLX,cash
0,2014-01-06,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9999999999909999,0.99999999999,0.8999999999999999,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
1,2014-01-07,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0058015631433204,1.0048160661132453,1.2490009026920598e-16,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
2,2014-01-08,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0070712646622053,1.0042796308954487,0.009707016796416758,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
3,2014-01-09,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0050216953212068,0.9953232273648472,0.01266962316165419,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
4,2014-01-10,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0138472549779958,1.0059734147096424,0.007376184879591811,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
5,2014-01-13,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0111559611707541,1.001992589977305,0.018740685292703622,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
6,2014-01-14,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0112090482696596,1.0030304118566657,0.011071550475359683,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
7,2014-01-15,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0104890886256472,0.9982298733125671,0.010810409988198828,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
8,2014-01-16,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.014035887245369,1.0011339183255052,0.013521445062837105,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
9,2014-01-17,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0149582603381233,1.0025812256859754,0.010131271924395445,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
10,2014-01-21,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0222440628351146,1.011066638048207,0.005812204262976251,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
11,2014-01-22,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0318213954560702,1.0165661484552806,0.016671982300893385,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
12,2014-01-23,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.033619835284658,1.0189771473164133,0.012360838209446839,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
13,2014-01-24,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0437064751519487,1.029929648753899,0.01170720594333472,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
14,2014-01-27,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0300427312419111,1.0161022173315262,0.015990020675398557,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
15,2014-01-28,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0194616964454937,0.9984547293405311,0.013027621757809853,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
16,2014-01-29,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0193646256707096,1.0007523695728302,0.009818470930189598,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
17,2014-01-30,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0257075802680056,1.0065258516015085,0.021606231845581338,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
18,2014-01-31,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],1.0230355037080383,1.0133348352024434,0.015470228896648746,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
19,2014-02-03,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9920387150238844,0.9798248887694122,0.01526051113783459,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
20,2014-02-04,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9996632347512221,0.992359169663053,0.017122874345107026,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
21,2014-02-05,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9886988251506369,0.9768084885851747,0.01275553153760826,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
22,2014-02-06,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9829667982835033,0.969042431286731,0.014368768116177865,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
23,2014-02-07,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.981925334429912,0.9679783299641025,0.011197272130233636,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
24,2014-02-10,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9990953208781963,0.9875206203147733,0.01426493959476134,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
25,2014-02-11,[0.1 0.1 0.  0.1 0.1 0.1 0.  0.  0.1 0.1 0.1 0.1 0.1],0.9966420508087473,0.9827774583771404,0.01295676184369975,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
